year,month,time,anomaly
1959,1,1959,0.16
1959,2,1959.083333,0.09
1959,3,1959.166667,0.21
1959,4,1959.25,0.12
1959,5,1959.333333,0.06
1959,6,1959.416667,0.11
1959,7,1959.5,0.08
1959,8,1959.583333,0.08
1959,9,1959.666667,0.11
1959,10,1959.75,0
1959,11,1959.833333,-0.06
1959,12,1959.916667,0.02
1960,1,1960,0.04
1960,2,1960.083333,0.21
1960,3,1960.166667,-0.18
1960,4,1960.25,-0.06
1960,5,1960.333333,-0.05
1960,6,1960.416667,0.09
1960,7,1960.5,0.06
1960,8,1960.583333,0.09
1960,9,1960.666667,0.11
1960,10,1960.75,0.06
1960,11,1960.833333,-0.04
1960,12,1960.916667,0.27
1961,1,1961,0.13
1961,2,1961.083333,0.2
1961,3,1961.166667,0.17
1961,4,1961.25,0.15
1961,5,1961.333333,0.17
1961,6,1961.416667,0.15
1961,7,1961.5,0.07
1961,8,1961.583333,0.05
1961,9,1961.666667,0.04
1961,10,1961.75,-0.02
1961,11,1961.833333,0.04
1961,12,1961.916667,-0.01
1962,1,1962,0.12
1962,2,1962.083333,0.17
1962,3,1962.166667,0.17
1962,4,1962.25,0.1
1962,5,1962.333333,0.07
1962,6,1962.416667,0.04
1962,7,1962.5,0.12
1962,8,1962.583333,0.08
1962,9,1962.666667,0.1
1962,10,1962.75,0.12
1962,11,1962.833333,0.09
1962,12,1962.916667,0.11
1963,1,1963,0.06
1963,2,1963.083333,0.27
1963,3,1963.166667,-0.02
1963,4,1963.25,0.02
1963,5,1963.333333,0.04
1963,6,1963.416666,0.05
1963,7,1963.5,0.13
1963,8,1963.583333,0.18
1963,9,1963.666666,0.18
1963,10,1963.75,0.23
1963,11,1963.833333,0.21
1963,12,1963.916666,0.09
1964,1,1964,0.01
1964,2,1964.083333,-0.06
1964,3,1964.166666,-0.16
1964,4,1964.25,-0.2
1964,5,1964.333333,-0.09
1964,6,1964.416666,-0.07
1964,7,1964.5,-0.08
1964,8,1964.583333,-0.16
1964,9,1964.666666,-0.19
1964,10,1964.75,-0.25
1964,11,1964.833333,-0.21
